run_id,hypothesis_id,attempt,failure_category,failure_mode,raw_reason
ec1d5144,H1,1,validation_failure,missing_column,validation_failure:missing_column:amount
ec1d5144,H1,2,validation_failure,negative_cost,validation_failure:negative_cost
ec1d5144,H2,1,execution_error,misuse of window function AVG(),execution_error:misuse of window function AVG()
ec1d5144,H2,2,validation_failure,missing_column,validation_failure:missing_column:amount
ec1d5144,H2,3,validation_failure,missing_column,validation_failure:missing_column:amount
ec1d5144,H2,4,validation_failure,negative_cost,validation_failure:negative_cost
ec1d5144,H3,1,validation_failure,missing_column,validation_failure:missing_column:readmission_30day
ec1d5144,H3,2,validation_failure,negative_cost,validation_failure:negative_cost
ec1d5144,H4,1,execution_error,misuse of window function AVG(),execution_error:misuse of window function AVG()
ec1d5144,H4,2,validation_failure,negative_cost,validation_failure:negative_cost
ec1d5144,H4,3,execution_error,misuse of window function AVG(),execution_error:misuse of window function AVG()
ec1d5144,H4,4,execution_error,misuse of window function AVG(),execution_error:misuse of window function AVG()
ec1d5144,H5,1,validation_failure,aggregated_data_detected,validation_failure:aggregated_data_detected:chi_square_requires_raw_per_observation_rows_not_grouped_counts
